WSO,4.93,2.19B,13.64B,Before Market Open,Tuesday, August 1, 2023
WSOb,4.93,2.19B,13.64B,Before Market Open,Tuesday, August 1, 2023
MOS,1.11,3.14B,13.36B,After Market Close,Tuesday, August 1, 2023
LDOS,1.57,3.72B,12.86B,Before Market Open,Tuesday, August 1, 2023
MTCH,0.444,811.36M,12.7B,After Market Close,Tuesday, August 1, 2023
NMR,0.1114,2.48B,12.58B,Before Market Open,Tuesday, August 1, 2023
CZR,0.3318,2.87B,12.47B,After Market Close,Tuesday, August 1, 2023
PEN,0.2791,253.21M,11.78B,After Market Close,Tuesday, August 1, 2023
BXP,0.5897,788.22M,11.57B,After Market Close,Tuesday, August 1, 2023
AZPN,2.28,326.56M,11.43B,After Market Close,Tuesday, August 1, 2023
SCI,0.8144,986.1M,10.1B,After Market Close,Tuesday, August 1, 2023
NBIX,0.8129,446.75M,10.03B,Before Market Open,Tuesday, August 1, 2023
WJRYY,--,2.5B,10.02B,After Market Close,Tuesday, August 1, 2023
ALGM,0.3708,275.91M,9.77B,Before Market Open,Tuesday, August 1, 2023
UNM,1.86,3.08B,9.62B,After Market Close,Tuesday, August 1, 2023
NCLH,0.2618,2.16B,9.15B,Before Market Open,Tuesday, August 1, 2023
LEA,3.17,5.86B,9.12B,Before Market Open,Tuesday, August 1, 2023
TX,1.92,4.13B,8.75B,After Market Close,Tuesday, August 1, 2023
INSP,-0.5695,136.47M,8.42B,After Market Close,Tuesday, August 1, 2023
VFC,-0.1135,2.07B,7.65B,After Market Close,Tuesday, August 1, 2023
LFUS,3.34,621.31M,7.48B,After Market Close,Tuesday, August 1, 2023
GPK,0.7326,2.49B,7.47B,Before Market Open,Tuesday, August 1, 2023
VOYA,2,1.73B,7.34B,After Market Close,Tuesday, August 1, 2023
AXTA,0.3816,1.34B,7.17B,After Market Close,Tuesday, August 1, 2023
AIZ,2.51,2.64B,7.08B,After Market Close,Tuesday, August 1, 2023
CACC,8.18,463.83M,7.03B,After Market Close,Tuesday, August 1, 2023
CCCS,0.0673,208.51M,6.83B,After Market Close,Tuesday, August 1, 2023
IGT,0.403,1.03B,6.7B,Before Market Open,Tuesday, August 1, 2023
EHC,0.7451,1.16B,6.62B,After Market Close,Tuesday, August 1, 2023
EXEL,0.1654,447.2M,6.46B,After Market Close,Tuesday, August 1, 2023
ELF,0.571,184.58M,6.31B,After Market Close,Tuesday, August 1, 2023
IPGP,1.24,346.78M,6.18B,Before Market Open,Tuesday, August 1, 2023
ADC,0.4275,128.1M,6.11B,After Market Close,Tuesday, August 1, 2023
MSTR,-0.19,123.66M,6.1B,After Market Close,Tuesday, August 1, 2023
IQ,0.4936,7.78B,6.05B,After Market Close,Tuesday, August 1, 2023
OSK,1.63,2.24B,5.92B,Before Market Open,Tuesday, August 1, 2023
FNLPF,0.35,--,5.74B,Before Market Open,Tuesday, August 1, 2023
BFAM,0.5991,584.25M,5.57B,After Market Close,Tuesday, August 1, 2023
ALIT,0.1232,800.79M,5.31B,After Market Close,Tuesday, August 1, 2023
ENLC,0.1114,1.81B,5.3B,After Market Close,Tuesday, August 1, 2023
KLBAY,0.2244,934.97M,5.3B,Before Market Open,Tuesday, August 1, 2023
DTM,0.8693,232.06M,5.14B,Before Market Open,Tuesday, August 1, 2023
FRSH,0.0158,141.44M,5.13B,After Market Close,Tuesday, August 1, 2023
FLS,0.4031,979.68M,4.88B,After Market Close,Tuesday, August 1, 2023
SGAMY,0.1131,726.87M,4.84B,After Market Close,Tuesday, August 1, 2023
COLM,0.0159,586.91M,4.81B,After Market Close,Tuesday, August 1, 2023
SGRY,0.0836,669.47M,4.79B,Before Market Open,Tuesday, August 1, 2023
HLNE,0.8345,114.21M,4.79B,After Market Close,Tuesday, August 1, 2023
MGY,0.4346,291.39M,4.68B,After Market Close,Tuesday, August 1, 2023
AXS,1.98,1.39B,4.68B,After Market Close,Tuesday, August 1, 2023
TRTN,2.34,402.01M,4.64B,Before Market Open,Tuesday, August 1, 2023
NSP,1.25,1.56B,4.55B,Before Market Open,Tuesday, August 1, 2023
PECO,0.1074,147M,4.55B,After Market Close,Tuesday, August 1, 2023
ETRN,0.0902,311.21M,4.51B,Before Market Open,Tuesday, August 1, 2023
SHLS,0.1332,115.27M,4.48B,After Market Close,Tuesday, August 1, 2023
ACT,0.8355,243.83M,4.42B,After Market Close,Tuesday, August 1, 2023
SEB,--,--,4.16B,After Market Close,Tuesday, August 1, 2023
ESAB,1.05,665.13M,4.07B,Before Market Open,Tuesday, August 1, 2023
SFM,0.6353,1.69B,4.01B,After Market Close,Tuesday, August 1, 2023
BLKB,0.93,274.22M,3.9B,After Market Close,Tuesday, August 1, 2023
TEX,1.66,1.27B,3.89B,After Market Close,Tuesday, August 1, 2023
JBT,0.9189,506.66M,3.84B,After Market Close,Tuesday, August 1, 2023
OI,0.841,1.86B,3.61B,After Market Close,Tuesday, August 1, 2023
KWR,1.85,507M,3.57B,After Market Close,Tuesday, August 1, 2023
CRVL,--,--,3.51B,After Market Close,Tuesday, August 1, 2023
CVLT,0.6429,197.19M,3.43B,Before Market Open,Tuesday, August 1, 2023
MATX,1.23,760.29M,3.3B,After Market Close,Tuesday, August 1, 2023
APAM,0.73,245.45M,3.29B,After Market Close,Tuesday, August 1, 2023
LGIH,1.84,638.05M,3.22B,Before Market Open,Tuesday, August 1, 2023
CEQP,0.3819,1.16B,3.03B,Before Market Open,Tuesday, August 1, 2023
MMYT,0.0651,183.24M,3.02B,Before Market Open,Tuesday, August 1, 2023
ARNC,0.4385,2.03B,2.99B,After Market Close,Tuesday, August 1, 2023
YMZBY,2.21,2.08B,2.96B,After Market Close,Tuesday, August 1, 2023
DEI,0.0921,254.01M,2.88B,After Market Close,Tuesday, August 1, 2023
OMCL,0.2811,284.57M,2.84B,After Market Close,Tuesday, August 1, 2023
AY,0.2676,329.57M,2.81B,Before Market Open,Tuesday, August 1, 2023
